46,1,2,1,1,0,3,3,2,2,3,2,0,,,Edit Size,Total Example,Correct,%,,Patch Distance,Count,Percentage
335,10,1,1,0,2,2,2,1,2,1,2,0,,,,,,,,,,
1033,10,3,1,0,5,2,4,5,1,2,4,0,,,,,,,,,,
703,11,0,1,1,2,1,1,2,2,1,1,0,,,,,,,,,,
941,11,1,1,0,2,2,2,1,11,2,2,0,,,,,,,,,,
1021,11,10,11,11,0,1,11,11,11,11,1,0,,,,,,,,,,
376,12,1,0,2,2,2,2,2,2,1,1,0,,,,,,,,,,
752,12,0,1,1,1,2,1,2,2,6,2,0,,,,,,,,,,
980,12,1,1,2,0,2,2,2,1,2,2,0,,,,,,,,,,
722,14,0,1,2,1,1,3,1,1,1,3,0,,,,,,,,,,
1044,15,0,15,1,1,2,16,1,16,1,1,0,,,,,,,,,,
245,16,0,1,1,1,1,1,1,1,2,1,0,,,,,,,,,,
694,18,2,1,1,0,3,2,3,12,3,2,0,,,,,,,,,,
486,20,0,2,1,3,1,3,1,3,1,1,0,,,,,,,,,,
568,20,0,2,1,1,2,3,1,2,1,4,0,,,,,,,,,,
294,21,0,1,5,6,1,1,1,6,1,1,0,,,,,,,,,,
1017,22,0,1,0,1,1,1,21,1,1,1,0,,,,,,,,,,
829,25,20,21,1,1,1,2,1,1,0,20,0,,,,,,,,,,
922,25,0,2,1,3,1,1,2,2,3,1,0,,,,,,,,,,
25,1,4,5,3,6,7,2,3,6,6,1,1,,,,,,,,,,
41,1,3,3,2,3,2,3,3,2,1,3,1,,,,,,,,,,
60,1,2,3,1,3,3,3,8,3,4,2,1,,,,,,,,,,
90,1,1,1,2,2,2,2,1,2,1,1,1,,,,,,,,,,
113,1,1,2,2,2,2,2,3,2,3,3,1,,,,,,,,,,
244,1,1,6,3,6,2,5,5,4,3,4,1,,,,,,,,,,
315,1,1,2,2,2,2,8,8,3,2,3,1,,,,,,,,,,
362,1,4,1,2,5,5,5,2,2,5,5,1,,,,,,,,,,
393,1,1,2,2,2,2,2,2,8,3,2,1,,,,,,,,,,
402,1,2,1,2,3,3,2,3,2,3,3,1,,,,,,,,,,
413,1,2,3,1,3,3,2,2,3,3,4,1,,,,,,,,,,
498,1,2,8,1,9,2,2,3,3,8,8,1,,,,,,,,,,
521,1,2,3,3,3,4,1,3,4,2,4,1,,,,,,,,,,
541,1,1,2,2,27,27,2,26,27,3,2,1,,,,,,,,,,
619,1,1,4,1,3,1,1,1,1,4,1,1,,,,,,,,,,
640,1,1,1,8,8,8,7,7,7,1,1,1,,,,,,,,,,
665,1,1,2,4,2,4,5,5,1,4,2,1,,,,,,,,,,
685,1,3,2,2,3,1,2,3,2,2,3,1,,,,,,,,,,
707,1,2,2,1,1,4,3,1,4,3,3,1,,,,,,,,,,
715,1,10,11,11,1,2,2,11,11,11,2,1,,,,,,,,,,
751,1,2,2,3,4,1,3,4,3,2,1,1,,,,,,,,,,
865,1,1,1,2,2,1,1,2,2,2,2,1,,,,,,,,,,
871,1,1,2,6,2,2,2,2,7,2,2,1,,,,,,,,,,
901,1,2,3,3,3,3,1,3,2,3,3,1,,,,,,,,,,
902,1,1,2,1,2,1,5,2,2,2,3,1,,,,,,,,,,
909,1,1,2,2,2,2,3,2,2,1,2,1,,,,,,,,,,
940,1,1,2,1,2,2,2,2,3,2,2,1,,,,,,,,,,
947,1,3,2,2,3,4,4,2,13,1,4,1,,,,,,,,,,
948,1,1,1,5,6,5,4,2,1,5,4,1,,,,,,,,,,
1024,1,14,2,2,2,14,14,2,1,1,13,1,,,,,,,,,,
1055,1,2,3,3,3,3,2,1,2,1,3,1,,,,,,,,,,
155,2,7,1,3,3,2,2,3,3,3,7,1,,,,,,,,,,
231,2,1,2,2,2,3,2,2,2,3,2,1,,,,,,,,,,
267,2,4,2,3,2,4,1,1,3,5,1,1,,,,,,,,,,
306,2,2,4,5,3,5,1,3,4,6,4,1,,,,,,,,,,
350,2,2,1,4,3,5,3,3,2,5,2,1,,,,,,,,,,
454,2,3,2,2,4,1,3,4,3,4,3,1,,,,,,,,,,
456,2,3,3,4,2,2,2,3,1,2,3,1,,,,,,,,,,
562,2,8,2,1,2,2,1,2,3,3,7,1,,,,,,,,,,
