131,10,10,10,10
132,5,6,6,6
133,1,1,1,1
134,5,7,7,7
135,5,7,7,7
136,5,7,7,7
137,5,7,7,7
138,1,2,6,2
139,2,7,7,7
140,2,8,8,8
141,1,4,4,4
142,1,4,4,4
143,1,11,11,11
144,2,1,1,1
145,2,2,2,2
146,2,2,2,2
147,1,3,3,3
148,1,4,4,4
149,1,3,3,3
150,1,3,4,3
151,1,2,13,2
152,1,2,5,2
153,1,12,5,5
154,2,2,3,2
155,2,2,3,2
156,2,2,2,2
157,2,3,3,3
158,2,2,2,2
159,2,3,3,3
160,1,9,9,9
161,3,2,3,2
162,3,7,7,7
163,3,7,7,7
164,2,3,3,3
165,1,4,4,4
166,3,0,3,0
167,1,1,1,1
168,1,3,6,3
169,3,0,3,0
170,1,1,1,1
171,1,3,1,1
172,5,7,10,7
173,1,2,4,2
174,3,2,7,2
175,3,9,4,4
176,2,5,5,5
177,2,3,3,3
178,2,5,5,5
179,2,3,3,3
180,3,5,5,5
181,3,5,5,5
182,3,9,4,4
183,2,5,5,5
184,2,5,5,5
185,5,8,8,8
186,4,1,1,1
187,4,5,5,5
188,2,1,1,1
189,3,4,0,0
190,4,1,1,1
191,3,5,5,5
192,3,4,0,0
193,2,1,1,1
194,2,0,10,0
195,2,0,4,0
196,2,0,4,0
197,4,1,1,1
198,2,1,1,1
199,2,0,10,0
200,2,3,3,3
201,2,1,1,1
202,3,1,1,1
203,2,1,1,1
204,2,4,6,4
205,2,4,4,4
206,2,4,4,4
207,1,3,3,3
208,3,6,6,6
209,3,6,6,6
210,1,2,2,2
211,1,2,2,2
212,1,3,4,3
213,1,4,4,4
214,1,1,2,1
215,6,8,8,8
216,6,8,8,8
217,6,8,8,8
218,6,8,8,8
219,6,7,7,7
220,6,8,8,8
221,6,8,8,8
222,1,4,4,4
223,1,4,4,4
224,1,4,4,4
225,1,1,3,1
226,1,4,4,4
227,3,3,3,3
228,3,3,3,3
229,3,3,3,3
230,1,3,3,3
231,1,3,3,3
232,1,3,3,3
233,1,3,3,3
234,1,2,2,2
235,1,7,7,7
236,1,3,3,3
237,1,3,3,3
238,1,7,7,7
239,1,3,3,3
240,1,3,3,3
241,1,3,3,3
242,1,2,2,2
243,1,3,3,3
244,1,3,3,3
245,1,3,3,3
246,1,3,3,3
247,1,2,2,2
248,2,3,3,3
249,1,1,1,1
250,1,3,3,3
251,2,7,4,4
252,1,6,6,6
253,11,13,15,13
254,11,13,15,13
255,1,13,13,13
256,1,1,1,1
257,1,1,2,1
258,1,1,2,1
259,1,1,2,1
260,1,1,1,1
261,1,1,1,1
262,1,1,1,1
263,1,1,1,1
264,1,1,1,1
265,1,1,1,1
266,1,1,1,1
267,1,1,1,1
268,1,1,1,1
269,1,1,1,1
270,1,1,1,1
271,1,1,1,1
272,1,1,1,1
273,1,1,1,1
274,1,1,1,1
275,1,1,2,1
276,1,1,2,1
277,1,0,1,0
278,1,0,1,0
279,1,2,1,1
280,1,2,1,1
281,1,2,1,1
282,1,1,2,1
283,1,1,2,1
284,1,1,2,1
285,1,3,3,3
286,1,3,3,3
287,1,3,3,3
288,1,3,3,3
289,4,6,5,5
290,1,3,3,3
291,1,2,1,1
292,1,0,1,0
293,7,8,8,8
294,1,1,1,1
295,1,2,2,2
296,1,3,3,3
297,3,3,9,3
298,1,3,3,3
299,1,2,2,2
300,3,3,9,3
301,1,3,3,3
302,1,3,3,3
303,6,12,10,10
304,2,7,7,7
305,1,2,2,2
306,1,3,3,3
307,1,5,6,5
308,6,6,8,6
309,1,2,1,1
310,6,6,8,6
311,7,8,8,8
312,1,2,1,1
313,1,3,5,3
314,2,2,2,2
315,1,1,2,1
316,1,1,3,1
317,1,0,1,0
318,1,0,2,0
319,1,0,2,0
320,1,4,3,3
321,2,6,4,4
322,4,6,6,6
323,1,4,2,2
324,2,3,3,3
325,2,3,3,3
326,1,1,3,1
327,1,1,1,1
328,1,1,1,1
329,1,3,3,3
330,1,1,0,0
331,1,4,2,2
332,1,1,3,1
333,1,1,0,0
334,1,4,2,2
335,3,7,7,7
336,1,1,1,1
337,1,4,4,4
338,1,5,5,5
339,1,4,4,4
340,1,4,4,4
341,1,3,3,3
342,1,4,4,4
343,1,3,3,3
344,1,3,3,3
345,1,3,3,3
346,1,3,3,3
347,1,3,3,3
348,1,3,3,3
349,1,3,3,3
350,1,3,3,3
351,1,3,3,3
352,1,4,3,3
353,1,4,4,4
354,1,4,4,4
355,1,3,3,3
356,1,3,4,3
357,1,5,5,5
358,1,2,2,2
359,3,4,4,4
360,3,4,4,4
361,4,5,5,5
362,1,5,8,5
363,1,7,7,7
364,1,3,3,3
365,1,7,7,7
366,1,3,3,3
367,1,3,3,3
368,1,3,3,3
369,1,3,3,3
370,1,3,3,3
371,1,3,3,3
372,1,6,8,6
373,1,7,7,7
374,1,8,7,7
375,1,8,7,7
376,1,5,5,5
377,1,8,8,8
378,1,8,8,8
379,1,8,8,8
380,1,8,8,8
381,1,8,8,8
382,1,7,7,7
383,1,6,6,6
384,1,7,7,7
385,1,7,7,7
386,1,8,8,8
387,1,8,8,8
388,1,8,8,8
389,1,8,8,8
390,1,8,8,8
391,1,7,7,7
392,1,6,6,6
393,1,7,7,7
394,1,7,7,7
395,2,9,9,9
396,2,5,5,5
397,1,4,4,4
398,1,5,5,5
399,1,4,4,4
400,2,8,8,8
401,2,9,8,8
402,2,7,6,6
403,1,4,4,4
404,1,5,5,5
405,2,4,4,4
406,1,1,1,1
407,1,2,2,2
408,1,2,2,2
409,8,5,9,5
410,8,5,9,5
411,1,6,6,6
412,1,5,5,5
413,1,8,10,8
414,1,6,5,5
415,1,2,2,2
416,1,2,2,2
417,1,2,2,2
